iter	Passed	Remaining
0	163	163368
1	173	86730
2	182	60655
3	193	48068
4	203	40415
5	213	35439
6	224	31906
7	234	29129
8	244	26919
9	253	25107
10	262	23628
11	274	22622
12	285	21672
13	294	20733
14	304	20018
15	314	19353
16	322	18672
17	335	18323
18	347	17920
19	355	17434
20	367	17129
21	376	16721
22	386	16403
23	398	16189
24	423	16525
25	437	16389
26	449	16192
27	457	15897
28	470	15754
29	482	15612
30	491	15352
31	502	15205
32	515	15099
33	523	14873
34	534	14750
35	546	14647
36	555	14469
37	567	14364
38	578	14262
39	587	14094
40	597	13969
41	609	13900
42	619	13798
43	630	13689
44	639	13573
45	648	13447
46	659	13371
47	669	13279
48	679	13192
49	689	13107
50	699	13018
51	710	12944
52	718	12839
53	729	12783
54	740	12722
55	749	12628
56	762	12610
57	772	12550
58	781	12456
59	791	12402
60	800	12319
61	813	12310
62	834	12411
63	844	12352
64	857	12339
65	866	12265
66	876	12208
67	888	12178
68	896	12102
69	907	12055
70	921	12062
71	933	12029
72	945	12003
73	958	11995
74	975	12025
75	1005	12226
76	1016	12185
77	1026	12132
78	1037	12098
79	1046	12037
80	1058	12011
81	1070	11988
82	1079	11925
83	1089	11880
84	1101	11861
85	1110	11800
86	1119	11753
87	1129	11701
88	1138	11657
89	1147	11601
90	1158	11569
91	1168	11532
92	1177	11481
93	1189	11464
94	1197	11409
95	1208	11375
96	1218	11342
97	1227	11295
98	1239	11282
99	1250	11251
100	1259	11214
101	1270	11183
102	1279	11145
103	1290	11119
104	1301	11090
105	1310	11052
106	1320	11021
107	1328	10975
108	1339	10952
109	1350	10924
110	1358	10878
111	1369	10855
112	1378	10818
113	1388	10788
114	1398	10760
115	1408	10730
116	1418	10705
117	1426	10664
118	1437	10640
119	1445	10599
120	1454	10568
121	1466	10553
122	1474	10515
123	1484	10489
124	1493	10452
125	1504	10439
126	1515	10414
127	1524	10385
128	1534	10362
129	1543	10327
130	1552	10301
131	1564	10285
132	1572	10251
133	1582	10227
134	1591	10199
135	1602	10177
136	1611	10151
137	1622	10136
138	1637	10142
139	1648	10127
140	1657	10098
141	1667	10075
142	1678	10060
143	1687	10028
144	1697	10007
145	1705	9975
146	1717	9964
147	1726	9940
148	1734	9908
149	1746	9895
150	1754	9863
151	1764	9843
152	1775	9830
153	1784	9801
154	1794	9780
155	1803	9760
156	1815	9749
157	1825	9727
158	1834	9702
159	1844	9681
160	1868	9736
161	1884	9748
162	1899	9752
163	1912	9748
164	1932	9779
165	1945	9772
166	1958	9766
167	1975	9782
168	1987	9773
169	1998	9758
170	2013	9762
171	2028	9765
172	2041	9760
173	2057	9768
174	2067	9747
175	2077	9725
176	2088	9709
177	2099	9694
178	2108	9672
179	2116	9644
180	2129	9634
181	2140	9618
182	2149	9594
183	2160	9579
184	2170	9560
185	2178	9535
186	2189	9519
187	2198	9493
188	2207	9472
